title,download_url,filename
"초등학생용 교육자료(길을 찾자, 집을 찾자!!)",https://www.juso.go.kr/vodownload.do?fileNo=51408&fileName=교육용애니메이션-길을찾자.집을찾자.mp4&realFileName=66cbb2c7-e3c8-4221-875c-31d5c34b919f.mp4&regYmd=2015&num=70&logging=Y,교육용애니메이션-길을찾자.집을찾자.mp4
2014년 도로명주소 홍보 동영상(30초),https://www.juso.go.kr/vodownload.do?fileNo=46574&fileName=도로명주소_30초_소재(kbs)_고화질.mp4&realFileName=80910fe6-9bce-4034-812c-b648832279c2.mp4&regYmd=2014&num=69&logging=Y,도로명주소_30초_소재(kbs)_고화질.mp4
2014 도로명주소 교육 동영상(8분),https://www.juso.go.kr/vodownload.do?fileNo=42334&fileName=14년안전행정부_도로명주소교육영상.mp4&realFileName=53c7eb54-8d37-4671-8bf0-26595bd6a3bb.mp4&regYmd=2014&num=68&logging=Y,14년안전행정부_도로명주소교육영상.mp4
내비게이션 교육동영상(4분),https://www.juso.go.kr/vodownload.do?fileNo=33562&fileName=내비게이션교육동영상(4분).mp4&realFileName=5d4b7151-61b2-4930-9682-81ddc6d8e29d.mp4&regYmd=2013&num=60&logging=Y,내비게이션교육동영상(4분).mp4
2012도로명주소캠페인(40초),https://www.juso.go.kr/vodownload.do?fileNo=31810&fileName=2012도로명주소캠페인_최종소재(40s)_0910.mp4&realFileName=329f5b11-3bff-4e4a-a6f0-33ef980ad98f.mp4&regYmd=2012&num=57&logging=Y,2012도로명주소캠페인_최종소재(40s)_0910.mp4
경기도 의정부시 도로명주소 홍보동영상,https://www.juso.go.kr/vodownload.do?fileNo=23306&fileName=새주소(완완1).mp4&realFileName=577c9f28-947e-4fc7-98b6-0f32cbab71e5.mp4&regYmd=2011&num=56&logging=Y,새주소(완완1).mp4
2011년 지상파 캠페인 TV(40초),https://www.juso.go.kr/vodownload.do?fileNo=22926&fileName=0929_새주소_40s.mp4&realFileName=5f9e33c2-a7bc-4043-91d1-06cef6323c64.mp4&regYmd=2011&num=53&logging=Y,0929_새주소_40s.mp4
2010년 홍보동영상,https://www.juso.go.kr/vodownload.do?fileNo=16803&fileName=2010_새주소캠페인_수정분.mp4&realFileName=db63ab2a-bc57-4c04-91bd-95891e45fa35.mp4&regYmd=2010&num=45&logging=Y,2010_새주소캠페인_수정분.mp4
2010년 홍보동영상(LED용),https://www.juso.go.kr/vodownload.do?fileNo=16802&fileName=2010_새주소캠페인_LED_수정분.mp4&realFileName=61c27b34-fed3-47e1-b266-75e5cbf8e1a4.mp4&regYmd=2010&num=44&logging=Y,2010_새주소캠페인_LED_수정분.mp4
"도로명주소 확정을 위한 예비안내 실시, 브리핑",https://www.juso.go.kr/vodownload.do?fileNo=15570&fileName=101018_ebrief-도로명주소_확정을_위한_예비안내_실시(지방세분석과).mp4&realFileName=c7a79ee7-2ac9-42ba-8990-f21289f8ce16.mp4&regYmd=2010&num=40&logging=Y,101018_ebrief-도로명주소_확정을_위한_예비안내_실시(지방세분석과).mp4
"새주소 홍보CM(행안부, 40초용)",https://www.juso.go.kr/vodownload.do?fileNo=10775&fileName=New_Address1.mp4&realFileName=385c0b10-6fb7-467a-9df7-236fea073c71.mp4&regYmd=2009&num=38&logging=Y,New_Address1.mp4
퇴근하는 남편(경기도 라디오 홍보),https://www.juso.go.kr/vodownload.do?fileNo=10527&fileName=새주소5.mp3&realFileName=e74207c1-853b-4c6c-bd0e-2ca40641a505.mp3&regYmd=2009&num=35&logging=Y,새주소5.mp3
학교 수업시간(경기도 라디오 홍보),https://www.juso.go.kr/vodownload.do?fileNo=10526&fileName=새주소4.mp3&realFileName=29ad53fd-42ee-466e-a4e5-0f67f36d3441.mp3&regYmd=2009&num=34&logging=Y,새주소4.mp3
친구집 집들이 가는 길(경기도 라디오 홍보),https://www.juso.go.kr/vodownload.do?fileNo=10525&fileName=새주소3.mp3&realFileName=65c6752d-3780-4999-8303-33ec7851c2b5.mp3&regYmd=2009&num=33&logging=Y,새주소3.mp3
여자 친구들 전화 통화(경기도 라디오 홍보),https://www.juso.go.kr/vodownload.do?fileNo=10524&fileName=새주소2.mp3&realFileName=31343d46-12b3-473e-b994-4f6ab6c4c47a.mp3&regYmd=2009&num=32&logging=Y,새주소2.mp3
엄마와 아이의 대화(경기도 라디오 홍보),https://www.juso.go.kr/vodownload.do?fileNo=10523&fileName=새주소1.mp3&realFileName=66e9bcef-db1c-43cd-9c52-ac1ed3f6f076.mp3&regYmd=2009&num=31&logging=Y,새주소1.mp3
금천구 홍보 동영상,https://www.juso.go.kr/vodownload.do?fileNo=10275&fileName=새주소(마스터)2-1.mp4&realFileName=2e3ede41-7241-44b8-84f1-40f784ede2fb.mp4&regYmd=2009&num=30&logging=Y,새주소(마스터)2-1.mp4
새주소 홍보동아리 소개 동영상(전주시),https://www.juso.go.kr/vodownload.do?fileNo=7852&fileName=고고투새주소홍보동아리.mp3&realFileName=7075bac1-acf4-4aec-bac0-f7649ca1b091.mp3&regYmd=2008&num=25&logging=Y,고고투새주소홍보동아리.mp3
행안부 홍보동영상 수정본입니다.(행안부 명칭및 로고수정),https://www.juso.go.kr/vodownload.do?fileNo=7796&fileName=새주소사업_30B.mp4&realFileName=553f6ade-4a36-4b7b-9af9-75aaef07f12a.mp4&regYmd=2008&num=21&logging=Y,새주소사업_30B.mp4
전라남도 새주소홍보 영상물(20초),https://www.juso.go.kr/vodownload.do?fileNo=6638&fileName=전남_20초_A안_0415수정.mp4&realFileName=48448f75-8cc4-41c6-a44a-26be20491e9c.mp4&regYmd=2008&num=20&logging=Y,전남_20초_A안_0415수정.mp4
전라남도 새주소홍보 영상물(30초),https://www.juso.go.kr/vodownload.do?fileNo=6637&fileName=전라남도새주소사업30초.mp4&realFileName=0b09f934-a3d1-48c9-9208-8c1a277aa38d.mp4&regYmd=2008&num=19&logging=Y,전라남도새주소사업30초.mp4
새주소 홍보동영상(전광판용),https://www.juso.go.kr/vodownload.do?fileNo=5069&fileName=도로명사업홍보Cm.mp4&realFileName=d7d47fcb-4a5a-49f2-8ea0-9845bcd3362b.mp4&regYmd=2007&num=17&logging=Y,도로명사업홍보Cm.mp4
서울시 금천구 홍보 동영상,https://www.juso.go.kr/vodownload.do?fileNo=4453&fileName=홍보동영상.mp4&realFileName=b8de8c4a-5f00-4309-9ff4-f792b9ba3023.mp4&regYmd=2007&num=14&logging=Y,홍보동영상.mp4
새주소 홍보동영상(2007.04.05 수정),https://www.juso.go.kr/vodownload.do?fileNo=4363&fileName=새주소 사업 TV-CM (30초).mpg&realFileName=7899439a-bfd7-4a76-a495-e0c218a7fd17.mp4&regYmd=2007&num=13&logging=Y,새주소 사업 TV-CM (30초).mpg
시흥시 건물번호판 현판식 동영상,https://www.juso.go.kr/vodownload.do?fileNo=4348&fileName=1. 건물번호판 현판식.mp4&realFileName=802d93e3-53f0-4039-951a-b77f87076b14.mp4&regYmd=2007&num=12&logging=Y,1. 건물번호판 현판식.mp4
